Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 298       , 485       , 1        , 0.032                    
 77        , 182       , 7        , 0.011                    
 516       , 768       , 12       , 0.041999999999999996     
 179       , 152       , 1        , 0.009000000000000001     
 44        , 690       , 2        , 0.004                    
 66        , 751       , 1        , 0.004                    
 841       , 340       , 1        , 0.016                    
 19        , 439       , 1        , 0.002                    
 874       , 646       , 38       , 0.032                    
 832       , 569       , 1        , 0.028                    
 144       , 925       , 1        , 0.008                    
 3         , 215       , 1        , 0.001                    
 574       , 728       , 14       , 0.028                    
 147       , 602       , 7        , 0.008                    
 294       , 602       , 14       , 0.015000000000000001     
 690       , 794       , 2        , 0.034                    
 880       , 991       , 1        , 0.045000000000000005     
 992       , 757       , 1        , 0.037                    
 850       , 676       , 2        , 0.033                    
 977       , 993       , 1        , 0.048                    
 414       , 148       , 2        , 0.008                    
 448       , 317       , 1        , 0.015000000000000001     
 161       , 883       , 1        , 0.008                    
 66        , 24        , 6        , 0.002                    
 28        , 683       , 1        , 0.005                    
 569       , 281       , 1        , 0.013                    
 703       , 6         , 1        , 0.001                    
 363       , 166       , 1        , 0.008                    
 514       , 979       , 1        , 0.026                    
 785       , 252       , 1        , 0.012                    
 26        , 498       , 2        , 0.002                    
 544       , 2         , 1        , 0.001                    
 508       , 491       , 1        , 0.024                    
 994       , 428       , 2        , 0.020999999999999998     
 334       , 881       , 1        , 0.016                    
 934       , 391       , 1        , 0.019                    
 493       , 547       , 1        , 0.023                    
 151       , 110       , 1        , 0.005                    
 523       , 538       , 1        , 0.025                    
 840       , 899       , 1        , 0.043000000000000003     
 275       , 995       , 5        , 0.013                    
 320       , 435       , 5        , 0.015000000000000001     
 787       , 675       , 1        , 0.033                    
 588       , 734       , 2        , 0.030000000000000002     
 310       , 767       , 1        , 0.014                    
 1         , 987       , 1        , 0.001                    
 683       , 407       , 1        , 0.026                    
 609       , 966       , 21       , 0.030000000000000002     
 817       , 25        , 1        , 0.002                    
 130       , 191       , 1        , 0.007                    
 488       , 455       , 1        , 0.022                    
 366       , 425       , 1        , 0.018000000000000002     
 568       , 17        , 1        , 0.002                    
 277       , 178       , 1        , 0.009000000000000001     
 254       , 991       , 1        , 0.012                    
 205       , 77        , 1        , 0.004                    
 288       , 413       , 1        , 0.014                    
 914       , 764       , 2        , 0.038                    
 161       , 264       , 1        , 0.008                    
 171       , 140       , 1        , 0.007                    
 354       , 581       , 1        , 0.018000000000000002     
 145       , 762       , 1        , 0.008                    
 566       , 353       , 1        , 0.017                    
 200       , 6         , 2        , 0.002                    
 278       , 478       , 2        , 0.013                    
 938       , 920       , 2        , 0.045000000000000005     
 307       , 10        , 1        , 0.001                    
 936       , 509       , 1        , 0.025                    
 219       , 869       , 1        , 0.01                     
 278       , 166       , 2        , 0.009000000000000001     
 844       , 183       , 1        , 0.009000000000000001     
 332       , 344       , 4        , 0.016                    
 63        , 394       , 1        , 0.004                    
 18        , 228       , 6        , 0.002                    
 900       , 854       , 2        , 0.043000000000000003     
 327       , 263       , 1        , 0.012                    
 774       , 814       , 2        , 0.039                    
 363       , 822       , 3        , 0.018000000000000002     
 294       , 205       , 1        , 0.01                     
 205       , 441       , 1        , 0.01                     
 248       , 704       , 8        , 0.012                    
 208       , 748       , 4        , 0.01                     
 521       , 313       , 1        , 0.014                    
 860       , 719       , 1        , 0.034999999999999996     
 95        , 15        , 5        , 0.002                    
 168       , 577       , 1        , 0.009000000000000001     
 744       , 377       , 1        , 0.018000000000000002     
 645       , 284       , 1        , 0.014                    
 923       , 967       , 1        , 0.046                    
 926       , 384       , 2        , 0.019                    
 857       , 258       , 1        , 0.012                    
 80        , 657       , 1        , 0.005                    
 681       , 999       , 3        , 0.034999999999999996     
 689       , 474       , 1        , 0.023                    
 706       , 841       , 1        , 0.034999999999999996     
 839       , 180       , 1        , 0.009000000000000001     
 322       , 930       , 2        , 0.016                    
 616       , 527       , 1        , 0.026                    
 602       , 1         , 1        , 0.0                      
 452       , 308       , 4        , 0.015000000000000001     
 564       , 880       , 4        , 0.029                    
 885       , 589       , 1        , 0.029                    
 356       , 620       , 4        , 0.018000000000000002     
 644       , 919       , 1        , 0.032                    
 758       , 867       , 1        , 0.037                    
 415       , 350       , 5        , 0.017                    
 276       , 320       , 4        , 0.014                    
 606       , 426       , 6        , 0.056                    
 764       , 870       , 2        , 0.038                    
 398       , 109       , 1        , 0.006                    
 841       , 798       , 1        , 0.039                    
 405       , 615       , 15       , 0.019                    
 515       , 694       , 1        , 0.024                    
 872       , 662       , 2        , 0.032                    
 679       , 596       , 1        , 0.031                    
 346       , 893       , 1        , 0.016                    
 122       , 905       , 1        , 0.007                    
 675       , 498       , 3        , 0.025                    
 844       , 528       , 4        , 0.025                    
 529       , 206       , 1        , 0.01                     
 606       , 58        , 2        , 0.004                    
 227       , 146       , 1        , 0.007                    
 868       , 280       , 28       , 0.013                    
 944       , 83        , 1        , 0.004                    
 403       , 632       , 1        , 0.019                    
 596       , 521       , 1        , 0.026                    
 236       , 966       , 2        , 0.011                    
 742       , 864       , 2        , 0.036000000000000004     
 525       , 677       , 1        , 0.026                    
 931       , 696       , 1        , 0.034                    
 757       , 826       , 1        , 0.038                    
 997       , 106       , 1        , 0.005                    
 327       , 375       , 3        , 0.015000000000000001     
 788       , 161       , 1        , 0.008                    
 191       , 533       , 1        , 0.009000000000000001     
 123       , 461       , 1        , 0.006                    
 641       , 867       , 1        , 0.032                    
 528       , 363       , 33       , 0.018000000000000002     
 340       , 27        , 1        , 0.003                    
 830       , 548       , 2        , 0.027                    
 1         , 963       , 1        , 0.001                    
 351       , 965       , 1        , 0.018000000000000002     
 379       , 924       , 1        , 0.018000000000000002     
 262       , 185       , 1        , 0.009000000000000001     
 926       , 55        , 1        , 0.003                    
 839       , 880       , 1        , 0.041                    
 382       , 257       , 1        , 0.012                    
 330       , 296       , 2        , 0.014                    
